Bombo,Equipo,Pais,Grupo,id_sorteo
1,Boca Juniors,Argentina,F,1000305411
2,Universidad Católica,Chile,F,1000305411
3,Bragantino,Brasil,F,1000305411
4,América M.G.,Fase previa,F,1000305411
1,Palmeiras,Brasil,A,1000654128
2,Universidad Católica,Chile,A,1000654128
3,Alianza Lima,Perú,A,1000654128
4,Talleres,Argentina,A,1000654128
1,Nacional,Uruguay,E,1000991719
2,Universidad Católica,Chile,E,1000991719
3,Colón,Argentina,E,1000991719
4,Fortaleza,Brasil,E,1000991719
1,Peñarol,Uruguay,E,1001471760
2,Universidad Católica,Chile,E,1001471760
3,Alianza Lima,Perú,E,1001471760
4,Fortaleza,Brasil,E,1001471760
1,Boca Juniors,Argentina,D,1004099773
2,Universidad Católica,Chile,D,1004099773
3,Deportivo Cali,Colombia,D,1004099773
4,Fortaleza,Brasil,D,1004099773
1,River Plate,Argentina,E,1004399014
2,Universidad Católica,Chile,E,1004399014
3,Bragantino,Brasil,E,1004399014
4,Estudiantes L.P.,Fase previa,E,1004399014
1,Peñarol,Uruguay,C,1004912832
2,Universidad Católica,Chile,C,1004912832
3,Deportivo Cali,Colombia,C,1004912832
4,The Strongest,Fase previa,C,1004912832
1,Nacional,Uruguay,F,1005966480
2,Universidad Católica,Chile,F,1005966480
3,Deportivo Táchira,Venezuela,F,1005966480
4,Talleres,Argentina,F,1005966480
1,Athletico Paranaense,Brasil,B,1006951020
2,Universidad Católica,Chile,B,1006951020
3,Deportivo Táchira,Venezuela,B,1006951020
4,Independiente Petrolero,Bolivia,B,1006951020
1,Nacional,Uruguay,B,1008055560
2,Universidad Católica,Chile,B,1008055560
3,Alianza Lima,Perú,B,1008055560
4,The Strongest,Fase previa,B,1008055560
1,Flamengo,Brasil,B,1008608867
2,Universidad Católica,Chile,B,1008608867
3,Caracas,Venezuela,B,1008608867
4,América M.G.,Fase previa,B,1008608867
1,Nacional,Uruguay,D,1009125869
2,Universidad Católica,Chile,D,1009125869
3,Deportivo Cali,Colombia,D,1009125869
4,América M.G.,Fase previa,D,1009125869
1,Athletico Paranaense,Brasil,G,1010237835
2,Universidad Católica,Chile,G,1010237835
3,Alianza Lima,Perú,G,1010237835
4,Estudiantes L.P.,Fase previa,G,1010237835
1,Atlético Mineiro,Brasil,D,1011083893
2,Universidad Católica,Chile,D,1011083893
3,Colón,Argentina,D,1011083893
4,Olimpia,Fase previa,D,1011083893
1,Athletico Paranaense,Brasil,B,1012564117
2,Universidad Católica,Chile,B,1012564117
3,Deportes Tolima,Colombia,B,1012564117
4,Estudiantes L.P.,Fase previa,B,1012564117
1,Flamengo,Brasil,E,1013311567
2,Universidad Católica,Chile,E,1013311567
3,Deportivo Táchira,Venezuela,E,1013311567
4,Estudiantes L.P.,Fase previa,E,1013311567
1,Atlético Mineiro,Brasil,E,1013355828
2,Universidad Católica,Chile,E,1013355828
3,Deportivo Táchira,Venezuela,E,1013355828
4,América M.G.,Fase previa,E,1013355828
1,Flamengo,Brasil,C,1013438079
2,Universidad Católica,Chile,C,1013438079
3,Deportes Tolima,Colombia,C,1013438079
4,The Strongest,Fase previa,C,1013438079
1,River Plate,Argentina,D,1013555241
2,Universidad Católica,Chile,D,1013555241
3,Bragantino,Brasil,D,1013555241
4,Estudiantes L.P.,Fase previa,D,1013555241
1,Athletico Paranaense,Brasil,G,1014451294
2,Universidad Católica,Chile,G,1014451294
3,Alianza Lima,Perú,G,1014451294
4,América M.G.,Fase previa,G,1014451294
1,Flamengo,Brasil,F,1014863269
2,Universidad Católica,Chile,F,1014863269
3,Colón,Argentina,F,1014863269
4,The Strongest,Fase previa,F,1014863269
1,Palmeiras,Brasil,A,1014869165
2,Universidad Católica,Chile,A,1014869165
3,Alianza Lima,Perú,A,1014869165
4,Estudiantes L.P.,Fase previa,A,1014869165
1,River Plate,Argentina,B,1014900951
2,Universidad Católica,Chile,B,1014900951
3,Sporting Cristal,Perú,B,1014900951
4,Estudiantes L.P.,Fase previa,B,1014900951
1,Boca Juniors,Argentina,H,1015047071
2,Universidad Católica,Chile,H,1015047071
3,Alianza Lima,Perú,H,1015047071
4,Fortaleza,Brasil,H,1015047071
1,Athletico Paranaense,Brasil,E,1015144833
2,Universidad Católica,Chile,E,1015144833
3,Alianza Lima,Perú,E,1015144833
4,Talleres,Argentina,E,1015144833
1,Nacional,Uruguay,G,1016331595
2,Universidad Católica,Chile,G,1016331595
3,Colón,Argentina,G,1016331595
4,Fortaleza,Brasil,G,1016331595
1,Peñarol,Uruguay,F,1016613748
2,Universidad Católica,Chile,F,1016613748
3,Alianza Lima,Perú,F,1016613748
4,Talleres,Argentina,F,1016613748
1,Peñarol,Uruguay,F,1018274039
2,Universidad Católica,Chile,F,1018274039
