Bombo,Equipo,Pais,Grupo,id_sorteo
1,Palmeiras,Brasil,A,5790772865
2,Colo Colo,Chile,A,5790772865
3,Deportivo Cali,Colombia,A,5790772865
4,Always Ready,Bolivia,A,5790772865
1,Boca Juniors,Argentina,B,5790772865
2,Emelec,Ecuador,B,5790772865
3,Caracas,Venezuela,B,5790772865
4,Fortaleza,Brasil,B,5790772865
1,River Plate,Argentina,C,5790772865
2,Cerro Porteño,Paraguay,C,5790772865
3,Sporting Cristal,Perú,C,5790772865
4,The Strongest,Fase previa,C,5790772865
1,Athletico Paranaense,Brasil,D,5790772865
2,Libertad,Paraguay,D,5790772865
3,Deportes Tolima,Colombia,D,5790772865
4,Estudiantes L.P.,Fase previa,D,5790772865
1,Peñarol,Uruguay,E,5790772865
2,Corinthians,Brasil,E,5790772865
3,Colón,Argentina,E,5790772865
4,Independiente Petrolero,Bolivia,E,5790772865
1,Flamengo,Brasil,F,5790772865
2,Vélez,Argentina,F,5790772865
3,Alianza Lima,Perú,F,5790772865
4,Olimpia,Fase previa,F,5790772865
1,Nacional,Uruguay,G,5790772865
2,Independiente del Valle,Ecuador,G,5790772865
3,Bragantino,Brasil,G,5790772865
4,América M.G.,Fase previa,G,5790772865
1,Atlético Mineiro,Brasil,H,5790772865
2,Universidad Católica,Chile,H,5790772865
3,Deportivo Táchira,Venezuela,H,5790772865
4,Talleres,Argentina,H,5790772865
